rooms,baths,area,lat,lng,amenity_count,has_swimming_pool,has_gym_or_health_club,has_covered_parking,has_lawn_or_garden,has_security_staff,has_balcony_or_terrace,has_jacuzzi,has_sauna,has_cctv_security,price_per_sqm,rooms_x_baths,area_per_room,amenity_density,total_amenities,city_en_enc,neighbourhood_en_enc,province_en_enc,furnishingStatus_furnished,furnishingStatus_unfurnished,furnishingStatus_unknown,completionStatus_completed,completionStatus_under-construction,property_type_en_Apartments,property_type_en_Cabins,property_type_en_Chalets,property_type_en_Duplexes,property_type_en_Hotel Apartments,property_type_en_Lands,property_type_en_Other Residential,property_type_en_Penthouses,property_type_en_Roofs,property_type_en_Rooms,property_type_en_Townhouses,property_type_en_Twin Houses,property_type_en_Villas,property_type_en_iVillas
4,4,412.0,30.0102788,31.5379067,7,0,0,1,0,0,0,0,0,0,141803.39805825244,16,103.0,1.6990291262135921,1,16.282847171369255,16.29204904211537,16.066802461833923,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2,2,110.0,30.118908615659,31.652102804902,0,0,0,0,0,0,0,0,0,0,63636.36363636364,4,55.0,0.0,0,16.088423555642784,15.899927389451875,16.066802461833923,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2,2,88.0,31.0665111,28.344066,14,0,1,1,1,0,0,0,0,0,79545.45454545454,4,44.0,15.909090909090908,3,16.345788916607955,15.572773764067886,16.345788916607955,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2,2,95.0,29.6727347,32.3374381,27,1,1,1,1,1,1,0,0,0,62326.31578947369,4,47.5,28.42105263157895,6,15.747032114495013,15.967921456359903,15.747032114495013,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1,1,60.0,29.98517849,31.04999818,50,1,1,1,1,1,1,1,1,1,126666.66666666667,1,60.0,83.33333333333334,9,16.10616420501588,16.70097038315765,16.01134442508541,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2,2,119.0,30.06805,31.406379,18,1,1,0,0,1,1,1,1,1,46218.487394957985,4,59.5,15.126050420168069,7,16.282847171369255,16.489659276356317,16.066802461833923,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2,2,125.0,30.166137,31.6680496,8,0,0,0,0,1,1,0,0,0,114528.0,4,62.5,6.4,2,16.300417291085605,16.486367704879513,16.066802461833923,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
7,9,512.0,31.2,29.919,3,0,0,0,0,0,0,0,0,0,78125.0,63,73.14285714285714,0.5859375,0,16.792878483231114,16.263182720601904,15.851522672265068,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3,3,176.0,29.904538109113,30.809852337428,0,0,0,0,0,0,0,0,0,0,18136.363636363636,9,58.666666666666664,0.0,0,16.10616420501588,14.9713852735813,16.01134442508541,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2,2,115.0,31.17310014,29.9287022,11,0,1,0,0,1,0,0,0,1,48434.782608695656,4,57.5,9.56521739130435,3,16.16000514993119,16.16000514993119,15.851522672265068,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
5,4,253.0,30.0029471,31.595582,21,1,1,0,1,1,0,1,1,1,86956.52173913043,20,50.6,8.300395256916996,7,15.616501940217244,16.956410275190038,16.066802461833923,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
3,2,129.0,30.07814,31.5941829,4,0,0,0,0,0,0,0,0,0,73643.41085271318,6,43.0,3.1007751937984493,0,16.282847171369255,16.29204904211537,16.066802461833923,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
3,2,154.0,30.090647810305,31.377698496569,20,0,1,1,1,1,1,1,0,1,83116.88311688312,6,51.333333333333336,12.987012987012987,7,15.803385043104912,15.803385043104912,16.066802461833923,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
4,4,210.0,30.0760241,30.9783104,14,1,1,1,1,1,0,1,1,1,33809.52380952381,16,52.5,6.666666666666666,8,16.02378508137718,16.29077632722533,16.01134442508541,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
4,3,235.0,30.04842577295,31.501481164322,15,0,0,1,1,1,1,0,0,1,79201.91489361702,12,58.75,6.382978723404255,5,16.282847171369255,16.29204904211537,16.066802461833923,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3,2,190.0,30.0669117,31.3375553,0,0,0,0,0,0,0,0,0,0,50105.26315789474,6,63.333333333333336,0.0,0,15.82707481102028,15.687312888712007,16.066802461833923,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
3,2,185.0,31.21536,29.94034,12,0,0,0,0,0,1,0,0,0,39729.72972972973,6,61.666666666666664,6.486486486486486,1,15.830413711839864,15.754226482185867,15.851522672265068,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
3,2,210.0,29.904618002313,30.943532807584,18,0,0,0,0,1,1,0,0,1,13333.333333333334,6,70.0,8.571428571428571,3,16.10616420501588,14.826946516816543,16.01134442508541,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
3,4,325.0,29.9842656,31.540594,16,0,0,1,1,1,1,0,0,1,69384.61538461539,12,108.33333333333333,4.923076923076923,5,16.282847171369255,16.29204904211537,16.066802461833923,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3,3,210.0,30.0139101,31.5062339,0,0,0,0,0,0,0,0,0,0,76190.47619047618,9,70.0,0.0,0,16.282847171369255,16.29204904211537,16.066802461833923,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
